diag_weitere,diag_fm,folge,folge_weitere,folge_fm,folge_tnm,proto,subst
4697.0,7692.0,3117.0,0.0,1361.0,3117.0,1238.0,23630.0
10097.0,14174.0,305608.0,2560.0,29093.0,305608.0,21649.0,46392.0
13994.0,13453.0,143143.0,5889.0,7598.0,143143.0,38043.0,54318.0
14051.0,26350.0,11615.0,0.0,6940.0,11615.0,7784.0,109468.0
16486.0,19397.0,96777.0,918.0,8388.0,96777.0,48067.0,79594.0
18156.0,10707.0,5839.0,0.0,3695.0,5839.0,4544.0,41490.0
18643.0,22969.0,13881.0,0.0,5153.0,13881.0,30957.0,77686.0
26635.0,28753.0,82551.0,895.0,10738.0,82551.0,61689.0,109975.0
27209.0,22288.0,177954.0,1940.0,10242.0,177954.0,59909.0,107316.0
32005.0,35365.0,85894.0,1197.0,10943.0,85894.0,64773.0,122683.0
44172.0,39794.0,237234.0,7908.0,15558.0,237234.0,91799.0,173836.0
45162.0,46462.0,195933.0,1309.0,23323.0,195933.0,118637.0,206291.0
49061.0,60527.0,31494.0,0.0,10815.0,31494.0,16172.0,251611.0
61476.0,88386.0,294441.0,12607.0,48835.0,294441.0,221629.0,395241.0
105364.0,95589.0,751366.0,140754.0,43924.0,751366.0,55684.0,582545.0
244425.0,86073.0,847405.0,5097.0,87069.0,847405.0,164160.0,460246.0
